Categories,Title,Link,Comments
Security,HashiCorp Vault Docs,https://developer.hashicorp.com/vault,Great reference
Cloud,Terraform Registry,https://registry.terraform.io,Providers & modules
Security,OWASP Top 10,https://owasp.org/www-project-top-ten/,Essential reading
Category,Title,URL,Comments
Cloud Well-Architected Framework,AWS,https://aws.amazon.com/architecture/well-architected,
Cloud Well-Architected Framework,Azure,https://learn.microsoft.com/azure/architecture/framework,
Cloud Well-Architected Framework,GCP,https://cloud.google.com/architecture/framework,
Cloud Well-Architected Framework,OCI,https://blogs.oracle.com/cloud-infrastructure/post/oci-wellarchitected-framework,
Cloud Architecture Center,AWS,https://aws.amazon.com/architecture,
Cloud Architecture Center,Azure,https://learn.microsoft.com/azure/architecture,
Cloud Architecture Center,GCP,https://cloud.google.com/architecture,
Cloud Architecture Center,OCI,https://docs.oracle.com/en/solutions,
OWASP Documentation,FortiADC OWASP Top 10,https://docs.fortinet.com/document/fortiadc/7.4.7/handbook/721088/owasp-top10,
OWASP Documentation,FortiADC OWASP Top 10 Monitoring,https://docs.fortinet.com/document/fortiadc/7.1.3/handbook/151280/owasp-top-10,
OWASP Documentation,FortiWeb OWASP Top 10 Compliance (7.6.0),https://docs.fortinet.com/document/fortiweb/7.6.0/new-features/306725/owasp-top-10-compliance-dashboard,
OWASP Documentation,FortiWeb OWASP Top 10 Compliance (7.6.0 Admin Guide),https://docs.fortinet.com/document/fortiweb/7.6.0/administration-guide/897881/owasp-top-10-compliance,
OWASP Documentation,FortiWeb OWASP Top 10 Compliance (8.0.0),https://docs.fortinet.com/document/fortiweb/8.0.0/administration-guide/897881/owasp-top-10-compliance,
